IMF32, Cleanup VMs, Information, 03/09/2017 17:36:09
IMF32, Update CustomSettings.ini, Information, 03/09/2017 17:36:18
IMF32, Cleanup MDT Monitoring data, Information, 03/09/2017 17:37:12
IMF32, Show the WIM's, Information, 03/09/2017 17:37:12
IMF32, Could not find D:\MDTBuildLab\Captures\REFWS2016-003.wim, something went wrong, sorry, Warning, 03/09/2017 17:37:12
IMF32, The script took 0:Days 0:Hours 8:Minutes to complete., Information, 03/09/2017 17:37:12
IMF32, Imagefactory 3.2 (Hyper-V), Information, 03/25/2017 15:04:07
IMF32, Logfile is C:\Setup\ImageFactoryV3ForHyper-V\log.txt, Information, 03/25/2017 15:04:07
IMF32, XMLfile is C:\setup\ImageFactoryV3ForHyper-V\ImageFactoryV3.xml, Information, 03/25/2017 15:04:07
IMF32, Importing modules, Information, 03/25/2017 15:04:07
IMF32, Reading from C:\setup\ImageFactoryV3ForHyper-V\ImageFactoryV3.xml, Information, 03/25/2017 15:04:07
IMF32, Verify Connection to DeploymentRoot, Information, 03/25/2017 15:04:07
IMF32, Connect to MDT, Information, 03/25/2017 15:04:07
IMF32, Connected to D:\MDTBuildLab, Information, 03/25/2017 15:04:07
IMF32, Get MDT Settings, Information, 03/25/2017 15:04:07
IMF32, Check if we should update the boot image, Information, 03/25/2017 15:04:07
IMF32, Check if we should use MDTmonitoring, Information, 03/25/2017 15:04:07
IMF32, Verify access to boot image, Information, 03/25/2017 15:04:07
IMF32, Access to D:\MDTBuildLab\boot\MDT Build Lab x86.iso is ok, Information, 03/25/2017 15:04:07
IMF32, Get TaskSequences, Information, 03/25/2017 15:04:07
IMF32, Found 1 TaskSequences to work on, Information, 03/25/2017 15:04:08
IMF32, Get detailed info about the task sequences, Information, 03/25/2017 15:04:08
IMF32, REFW10X64-001 Ref Windows 10 x64 - 10.0.14393.0 1.0, Information, 03/25/2017 15:04:08
IMF32, Verify Connection to Hyper-V host, Information, 03/25/2017 15:04:08
IMF32, Upload boot image to Hyper-V host, Information, 03/25/2017 15:04:12
IMF32, Remove old WIM files in the capture folder, Information, 03/25/2017 15:04:14
IMF32, Create the VM's on Host, Information, 03/25/2017 15:04:14
IMF32, Get BIOS Serialnumber from each VM and update the customsettings.ini file, Information, 03/25/2017 15:04:14
IMF32, Start VM's on Host, Information, 03/25/2017 15:04:14
IMF32, ConcurrentRunningVMs is set to: 2, Information, 03/25/2017 15:04:14
IMF32, Wait until they are done, Information, 03/25/2017 15:04:14
IMF32, Cleanup VMs, Information, 03/25/2017 15:04:14
IMF32, Update CustomSettings.ini, Information, 03/25/2017 15:04:14
IMF32, Cleanup MDT Monitoring data, Information, 03/25/2017 15:04:14
IMF32, Show the WIM's, Information, 03/25/2017 15:04:14
IMF32, Could not find D:\MDTBuildLab\Captures\REFW10X64-001.wim, something went wrong, sorry, Warning, 03/25/2017 15:04:14
IMF32, The script took 0:Days 0:Hours 0:Minutes to complete., Information, 03/25/2017 15:04:14
IMF32, Imagefactory 3.2 (Hyper-V), Information, 03/25/2017 15:05:07
IMF32, Logfile is C:\Setup\ImageFactoryV3ForHyper-V\log.txt, Information, 03/25/2017 15:05:07
IMF32, XMLfile is C:\setup\ImageFactoryV3ForHyper-V\ImageFactoryV3.xml, Information, 03/25/2017 15:05:07
IMF32, Importing modules, Information, 03/25/2017 15:05:07
IMF32, Reading from C:\setup\ImageFactoryV3ForHyper-V\ImageFactoryV3.xml, Information, 03/25/2017 15:05:07
IMF32, Verify Connection to DeploymentRoot, Information, 03/25/2017 15:05:07
IMF32, Connect to MDT, Information, 03/25/2017 15:05:07
IMF32, Get MDT Settings, Information, 03/25/2017 15:05:07
IMF32, Check if we should update the boot image, Information, 03/25/2017 15:05:07
IMF32, Check if we should use MDTmonitoring, Information, 03/25/2017 15:05:07
IMF32, Verify access to boot image, Information, 03/25/2017 15:05:07
IMF32, Access to D:\MDTBuildLab\boot\MDT Build Lab x86.iso is ok, Information, 03/25/2017 15:05:07
IMF32, Get TaskSequences, Information, 03/25/2017 15:05:07
IMF32, Found 1 TaskSequences to work on, Information, 03/25/2017 15:05:07
IMF32, Get detailed info about the task sequences, Information, 03/25/2017 15:05:07
IMF32, REFW10X64-001 Ref Windows 10 x64 - 10.0.14393.0 1.0, Information, 03/25/2017 15:05:07
IMF32, Verify Connection to Hyper-V host, Information, 03/25/2017 15:05:07
IMF32, Upload boot image to Hyper-V host, Information, 03/25/2017 15:05:09
IMF32, Remove old WIM files in the capture folder, Information, 03/25/2017 15:05:11
IMF32, Create the VM's on Host, Information, 03/25/2017 15:05:11
IMF32, Get BIOS Serialnumber from each VM and update the customsettings.ini file, Information, 03/25/2017 15:05:11
IMF32, Start VM's on Host, Information, 03/25/2017 15:05:11
IMF32, ConcurrentRunningVMs is set to: 2, Information, 03/25/2017 15:05:11
IMF32, Wait until they are done, Information, 03/25/2017 15:05:11
IMF32, Cleanup VMs, Information, 03/25/2017 15:05:11
IMF32, Update CustomSettings.ini, Information, 03/25/2017 15:05:11
IMF32, Cleanup MDT Monitoring data, Information, 03/25/2017 15:05:11
IMF32, Show the WIM's, Information, 03/25/2017 15:05:11
IMF32, Could not find D:\MDTBuildLab\Captures\REFW10X64-001.wim, something went wrong, sorry, Warning, 03/25/2017 15:05:11
IMF32, The script took 0:Days 0:Hours 0:Minutes to complete., Information, 03/25/2017 15:05:11
IMF32, Imagefactory 3.2 (Hyper-V), Information, 09/12/2017 08:20:20
IMF32, Logfile is C:\Scripts\ImageFactoryV3ForHyper-V\log.txt, Information, 09/12/2017 08:20:20
IMF32, XMLfile is C:\scripts\ImageFactoryV3ForHyper-V\ImageFactoryV3.xml, Information, 09/12/2017 08:20:20
IMF32, Importing modules, Information, 09/12/2017 08:20:20
IMF32, Imagefactory 3.2 (Hyper-V), Information, 09/12/2017 08:22:46
IMF32, Logfile is C:\Scripts\ImageFactoryV3ForHyper-V\log.txt, Information, 09/12/2017 08:22:46
IMF32, XMLfile is C:\scripts\ImageFactoryV3ForHyper-V\ImageFactoryV3.xml, Information, 09/12/2017 08:22:46
IMF32, Importing modules, Information, 09/12/2017 08:22:46
IMF32, Imagefactory 3.2 (Hyper-V), Information, 09/12/2017 08:23:32
IMF32, Logfile is C:\Scripts\ImageFactoryV3ForHyper-V\log.txt, Information, 09/12/2017 08:23:32
IMF32, XMLfile is C:\scripts\ImageFactoryV3ForHyper-V\ImageFactoryV3.xml, Information, 09/12/2017 08:23:32
IMF32, Importing modules, Information, 09/12/2017 08:23:32
IMF32, Reading from C:\scripts\ImageFactoryV3ForHyper-V\ImageFactoryV3.xml, Information, 09/12/2017 08:23:32
IMF32, Verify Connection to DeploymentRoot, Information, 09/12/2017 08:23:32
IMF32, Connect to MDT, Information, 09/12/2017 08:23:32
IMF32, Connected to E:\MDTBuildLab, Information, 09/12/2017 08:23:32
IMF32, Get MDT Settings, Information, 09/12/2017 08:23:32
IMF32, Check if we should update the boot image, Information, 09/12/2017 08:23:32
IMF32, Check if we should use MDTmonitoring, Information, 09/12/2017 08:23:32
IMF32, Verify access to boot image, Information, 09/12/2017 08:23:32
IMF32, Imagefactory 3.2 (Hyper-V), Information, 09/12/2017 08:24:17
IMF32, Logfile is C:\Scripts\ImageFactoryV3ForHyper-V\log.txt, Information, 09/12/2017 08:24:17
IMF32, XMLfile is C:\scripts\ImageFactoryV3ForHyper-V\ImageFactoryV3.xml, Information, 09/12/2017 08:24:17
IMF32, Importing modules, Information, 09/12/2017 08:24:17
IMF32, Reading from C:\scripts\ImageFactoryV3ForHyper-V\ImageFactoryV3.xml, Information, 09/12/2017 08:24:17
IMF32, Verify Connection to DeploymentRoot, Information, 09/12/2017 08:24:17
IMF32, Connect to MDT, Information, 09/12/2017 08:24:17
IMF32, Connected to E:\MDTBuildLab, Information, 09/12/2017 08:24:17
IMF32, Get MDT Settings, Information, 09/12/2017 08:24:17
IMF32, Check if we should update the boot image, Information, 09/12/2017 08:24:17
IMF32, Check if we should use MDTmonitoring, Information, 09/12/2017 08:24:17
IMF32, Verify access to boot image, Information, 09/12/2017 08:24:17
IMF32, Imagefactory 3.2 (Hyper-V), Information, 09/13/2017 10:44:39
IMF32, Logfile is C:\Scripts\ImageFactoryV3ForHyper-V\log.txt, Information, 09/13/2017 10:44:39
IMF32, XMLfile is C:\scripts\ImageFactoryV3ForHyper-V\ImageFactoryV3.xml, Information, 09/13/2017 10:44:39
IMF32, Importing modules, Information, 09/13/2017 10:44:39
IMF32, Reading from C:\scripts\ImageFactoryV3ForHyper-V\ImageFactoryV3.xml, Information, 09/13/2017 10:44:39
IMF32, Verify Connection to DeploymentRoot, Information, 09/13/2017 10:44:39
IMF32, Connect to MDT, Information, 09/13/2017 10:44:39
IMF32, Get MDT Settings, Information, 09/13/2017 10:44:39
IMF32, Check if we should update the boot image, Information, 09/13/2017 10:44:39
IMF32, Check if we should use MDTmonitoring, Information, 09/13/2017 10:44:39
IMF32, Verify access to boot image, Information, 09/13/2017 10:44:39
IMF32, Imagefactory 3.2 (Hyper-V), Information, 09/13/2017 10:48:44
IMF32, Logfile is C:\Scripts\ImageFactoryV3ForHyper-V\log.txt, Information, 09/13/2017 10:48:44
